Operateur;lon;lat;2G;3G;4G
20815;-4.291042;48.603096;0;1;0
20801;-4.265256;48.444957;1;1;0
20820;-4.265969;48.46253;1;1;0
20801;-4.218654;48.129783;1;1;1
20801;-4.264922;48.465558;1;1;0
20820;-4.218576;48.129905;1;1;1
20815;-4.218562;48.129906;0;1;1
20820;-4.206927;48.047956;1;1;0
20810;-4.262541;48.459262;1;1;1
20815;-4.262224;48.459137;0;1;1
20815;-4.246946;48.363051;0;1;1
20810;-4.246716;48.364231;1;1;0
20801;-4.246424;48.364674;1;1;1
20815;-4.171985;47.826519;0;1;1
20810;-4.193031;47.983944;1;1;1
20801;-4.193046;47.984251;1;1;0
20820;-4.192923;47.983942;1;1;1
20815;-4.192911;47.983952;0;1;1
20820;-4.171586;47.826941;1;1;1
20801;-4.171553;47.826898;1;1;1
20810;-4.259746;48.483194;1;1;1
20801;-4.259721;48.483313;1;0;0
20820;-4.259724;48.483331;1;1;1
20815;-4.259724;48.483331;0;1;0
20820;-4.183944;47.945598;1;1;1
20810;-4.183883;47.945647;1;1;1
20810;-4.166564;47.882429;1;1;1
20801;-4.166191;47.882154;1;1;1
20815;-4.166171;47.88211;0;1;1
20820;-4.166119;47.882221;1;1;1
20820;-4.226668;48.329717;1;0;0
20810;-4.226364;48.329474;1;1;1
20820;-4.19083;48.090265;1;1;1
20815;-4.190831;48.090274;0;1;1
20810;-4.235577;48.431137;1;0;0
20820;-4.235772;48.444143;1;1;0
20815;-4.235691;48.444148;0;1;0
20801;-4.235668;48.444177;1;1;1
20801;-4.166349;47.95948;1;1;0
20801;-4.179146;48.066646;1;1;0
20801;-4.212891;48.317305;1;1;0
20801;-4.14756;47.943196;1;1;0
20820;-4.196903;48.307286;1;1;0
20815;-4.196116;48.30728;0;1;1
20815;-4.133516;47.876541;0;1;1
20801;-4.133508;47.876577;1;1;1
20820;-4.145028;47.966673;1;1;1
20815;-4.145028;47.966673;0;1;1
20810;-4.144573;47.966692;1;1;1
20801;-4.133744;47.972394;1;1;0
20815;-4.2193;48.620207;0;1;0
20801;-4.219291;48.620244;1;1;1
20820;-4.133515;47.996534;1;1;1
20810;-4.13345;47.996547;1;1;1
20815;-4.133372;47.99647;0;1;0
20801;-4.13335;47.996508;1;1;1
20820;-4.163228;48.219629;1;1;0
20820;-4.129112;47.98425;1;1;1
20810;-4.129112;47.98425;1;1;1
20801;-4.132959;48.027525;1;1;0
20801;-4.125785;47.985826;1;1;1
20810;-4.109572;47.877681;1;1;1
20820;-4.109533;47.877683;1;1;1
20801;-4.109512;47.87773;1;1;1
20801;-4.147712;48.185923;0;1;0
20820;-4.136968;48.119109;1;1;1
20810;-4.136968;48.119109;1;1;1
20815;-4.136956;48.119119;0;1;1
20801;-4.115884;47.990267;1;1;1
20820;-4.153338;48.273887;1;1;1
20810;-4.153338;48.273887;1;1;1
20801;-4.153119;48.273963;1;1;0
20810;-4.114046;47.994011;1;0;0
20815;-4.151108;48.274998;0;1;1
20820;-4.196924;48.619876;1;1;1
20810;-4.196891;48.619933;1;1;1
20801;-4.180515;48.501953;1;0;0
20801;-4.109831;47.996002;1;1;1
20820;-4.109726;47.995827;1;1;1
20801;-4.110351;48.00778;1;1;1
20801;-4.10504;47.990907;1;1;0
20820;-4.103144;47.981805;1;1;1
20810;-4.102945;47.981627;1;1;1
20801;-4.102922;47.981656;1;1;1
20810;-4.103677;47.992588;1;1;1
20820;-4.103671;47.992643;1;1;1
20801;-4.099427;47.995719;1;1;1
20801;-4.094838;47.967652;1;0;0
20801;-4.173105;48.544875;1;1;0
20810;-4.100243;48.009214;1;0;0
20820;-4.17295;48.544938;1;1;0
20810;-4.17295;48.544938;1;1;0
20815;-4.172938;48.544948;0;1;0
20815;-4.125545;48.199436;0;1;1
20820;-4.099574;48.008143;1;1;1
20810;-4.09951;48.008165;1;1;1
20801;-4.094656;47.974114;0;0;0
20820;-4.093987;47.974444;1;1;1
20820;-4.187228;48.661669;1;1;1
20820;-4.124175;48.199997;1;1;1
20801;-4.187123;48.661693;1;1;1
20810;-4.094959;47.986601;1;1;1
20810;-4.123602;48.199553;1;1;1
20815;-4.186669;48.661666;0;1;1
20820;-4.094717;47.986507;1;1;1
20801;-4.092331;47.987781;1;1;0
20801;-4.094383;48.006885;1;1;0
20815;-4.091694;47.987847;0;1;1
20810;-4.082385;47.925096;1;1;1
20815;-4.082224;47.924998;0;1;1
20820;-4.081956;47.925402;1;1;1
20820;-4.088156;47.987862;1;1;1
20810;-4.088103;47.987666;1;1;1
20801;-4.087808;47.987377;1;0;0
20801;-4.088943;48.014306;1;1;0
20815;-4.086438;48.018225;0;1;1
20801;-4.080744;47.997544;0;1;0
20810;-4.147045;48.489677;1;0;0
20820;-4.077032;47.974845;1;1;1
20801;-4.077011;47.974891;1;1;0
20810;-4.076987;47.974911;1;1;1
20815;-4.076945;47.974895;0;1;0
20801;-4.117065;48.277255;1;1;0
20820;-4.076673;47.977695;1;0;0
20810;-4.078715;47.997269;1;1;1
20820;-4.078722;47.997322;1;1;1
20815;-4.078722;47.997322;0;1;1
20801;-4.07775;48.006245;1;1;1
20820;-4.110288;48.255268;1;1;1
20810;-4.110162;48.25524;1;1;1
20801;-4.072745;47.98263;1;1;1
20810;-4.072614;47.981852;1;1;1
20820;-4.072496;47.981777;1;1;1
20801;-4.145106;48.522457;0;0;1
